date,platform,sum
2015-04-26,android-app,2326114.00000
2014-10-06,android-app,1649613.00000
2014-11-08,ios-app,2463626.00000
2015-01-26,android-app,2751076.00000
2014-11-20,ios-app,2721135.00000
2015-04-28,android-app,2308001.00000
2015-02-25,ios-app,2896902.00000
2014-09-08,android-app,1487903.00000
2015-04-18,android-app,2349567.00000
2015-06-26,android-app,2183255.00000
2015-01-17,ios-app,3680552.00000
2015-07-27,android-app,2095971.00000
2015-02-28,ios-app,2934026.00000
2015-04-09,ios-app,3159514.00000
2014-12-29,android-app,3152257.00000
2014-07-30,android-app,1433823.00000
2015-01-31,android-app,2647989.00000
2015-08-23,ios-app,3101721.00000
2015-09-25,android-app,2137965.00000
2014-12-08,android-app,2765071.00000
2015-09-11,ios-app,3152981.00000
2014-09-21,ios-app,2458264.00000
2015-01-22,ios-app,3446890.00000
2015-08-17,android-app,2053634.00000
2014-10-13,android-app,1716704.00000
2015-07-26,ios-app,2988984.00000
2015-03-17,android-app,2397092.00000
2015-02-24,ios-app,2892270.00000
2015-06-15,android-app,2223796.00000
2014-11-25,android-app,2229279.00000
2014-07-02,android-app,1368589.00000
2015-04-22,android-app,2343948.00000
2014-09-06,android-app,1480031.00000
2015-05-25,android-app,2247434.00000
2015-09-18,ios-app,3140752.00000
2015-03-22,android-app,2390242.00000
2015-05-21,ios-app,3145073.00000
2014-08-31,android-app,1469113.00000
2015-04-02,android-app,2373003.00000
2015-07-25,android-app,2098977.00000
2014-10-28,android-app,1799221.00000
2014-12-09,android-app,2786691.00000
2014-11-02,ios-app,2418797.00000
2014-09-22,ios-app,2467189.00000
2014-06-02,ios-app,2310578.00000
2014-08-24,ios-app,2467119.00000
2015-09-07,android-app,2147609.00000
2014-07-13,ios-app,2444168.00000
2015-07-13,android-app,2138454.00000
2014-11-22,ios-app,2778510.00000
2015-06-27,android-app,2181717.00000
2015-05-29,ios-app,3172223.00000
2014-06-23,ios-app,2351343.00000
2014-10-08,ios-app,2488809.00000
2015-05-17,ios-app,3136776.00000
2015-09-01,android-app,2148952.00000
2015-01-31,ios-app,3130495.00000
2014-08-20,android-app,1457382.00000
